Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.22992000e-06,-1.00687500e+01,7.91093750e+02,-7.89062500e-01,7.34375000e-01,,-2.22992000e-06,-3.43751963e-05
-2.22832000e-06,-9.97656250e+00,7.90156250e+02,-5.15625000e-01,8.67187500e-01,,-2.22832000e-06,-3.52005154e-05
-2.22672000e-06,-1.00750000e+01,7.89296875e+02,-7.18750000e-01,7.57812500e-01,,-2.22672000e-06,-3.59803016e-05
-2.22512000e-06,-1.00593750e+01,7.91640625e+02,-8.04687500e-01,1.02343750e+00,,-2.22512000e-06,-3.69437657e-05
-2.22352000e-06,-1.00312500e+01,7.90625000e+02,-3.90625000e-01,8.04687500e-01,,-2.22352000e-06,-3.77004544e-05
-2.22192000e-06,-1.01890625e+01,7.88671875e+02,-2.50000000e-01,8.43750000e-01,,-2.22192000e-06,-3.81052596e-05
-2.22032000e-06,-1.00687500e+01,7.92812500e+02,-8.35937500e-01,3.35937500e-01,,-2.22032000e-06,-3.87931868e-05
-2.21872000e-06,-1.00515625e+01,7.89218750e+02,-6.17187500e-01,6.56250000e-01,,-2.21872000e-06,-3.97130570e-05
-2.21712000e-06,-1.00406250e+01,7.89687500e+02,-6.09375000e-01,8.12500000e-01,,-2.21712000e-06,-4.04877064e-05
-2.21552000e-06,-9.95625000e+00,7.92421875e+02,-1.26562500e+00,1.10156250e+00,,-2.21552000e-06,-4.16750045e-05
-2.21392000e-06,-9.99531250e+00,7.90703125e+02,-8.51562500e-01,9.53125000e-01,,-2.21392000e-06,-4.30159998e-05
-2.21232000e-06,-1.00656250e+01,7.87656250e+02,-4.21875000e-01,8.12500000e-01,,-2.21232000e-06,-4.38204988e-05
-2.21072000e-06,-1.00046875e+01,7.91328125e+02,-5.78125000e-01,8.35937500e-01,,-2.21072000e-06,-4.44523212e-05
-2.20912000e-06,-1.00015625e+01,7.89218750e+02,-1.32812500e-01,9.21875000e-01,,-2.20912000e-06,-4.49021645e-05
-2.20752000e-06,-1.00718750e+01,7.94218750e+02,-7.57812500e-01,8.35937500e-01,,-2.20752000e-06,-4.54675137e-05
-2.20592000e-06,-9.97812500e+00,7.90781250e+02,-6.40625000e-01,6.40625000e-01,,-2.20592000e-06,-4.63542856e-05
-2.20432000e-06,-1.00906250e+01,7.94453125e+02,-6.40625000e-01,7.65625000e-01,,-2.20432000e-06,-4.71667190e-05
-2.20272000e-06,-1.00718750e+01,7.92656250e+02,-5.78125000e-01,6.32812500e-01,,-2.20272000e-06,-4.79404807e-05
-2.20112000e-06,-1.00187500e+01,7.92890625e+02,-7.03125000e-01,8.43750000e-01,,-2.20112000e-06,-4.87530851e-05
-2.19952000e-06,-1.00406250e+01,7.90859375e+02,-6.40625000e-01,1.02343750e+00,,-2.19952000e-06,-4.96044013e-05
-2.19792000e-06,-1.00296875e+01,7.91484375e+02,-7.26562500e-01,3.51562500e-01,,-2.19792000e-06,-5.04697673e-05
-2.19632000e-06,-1.00078125e+01,7.86640625e+02,-4.84375000e-01,5.46875000e-01,,-2.19632000e-06,-5.12346414e-05
-2.19472000e-06,-9.97187500e+00,7.89062500e+02,-1.32031250e+00,7.96875000e-01,,-2.19472000e-06,-5.23729104e-05
-2.19312000e-06,-9.97343750e+00,7.89843750e+02,-6.32812500e-01,7.65625000e-01,,-2.19312000e-06,-5.36062144e-05
-2.19152000e-06,-1.00500000e+01,7.89062500e+02,-4.76562500e-01,5.46875000e-01,,-2.19152000e-06,-5.43069036e-05
-2.18992000e-06,-1.00750000e+01,7.92500000e+02,-8.75000000e-01,3.98437500e-01,,-2.18992000e-06,-5.51624835e-05
-2.18832000e-06,-1.00890625e+01,7.92812500e+02,-7.10937500e-01,8.04687500e-01,,-2.18832000e-06,-5.61681445e-05
-2.18672000e-06,-1.00906250e+01,7.95390625e+02,-4.21875000e-01,6.09375000e-01,,-2.18672000e-06,-5.68875003e-05
-2.18512000e-06,-1.00515625e+01,7.90781250e+02,-1.06250000e+00,3.90625000e-01,,-2.18512000e-06,-5.78281069e-05
