Model,MSO58
Channel,CH6,,Channel,CH7,,Channel,CH8,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,2324.00000000,,Zero Index,2324.00000000,,Zero Index,2324.00000000,,Zero Index,2324.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-0.860000,,yPosition,-2.100000,,yPosition,-2.940000,,,

TIME,CH6,CH7,CH8,,TIME,MATH1
-3.71840000e-06,-4.05937500e+00,1.69929688e+03,5.78125000e+00,,-3.71840000e-06,1.57184968e-05
-3.71680000e-06,-4.04843750e+00,1.69406250e+03,7.06250000e+00,,-3.71680000e-06,3.31491974e-05
-3.71520000e-06,-3.82656250e+00,1.69601562e+03,6.28125000e+00,,-3.71520000e-06,5.12431288e-05
-3.71360000e-06,-4.01250000e+00,1.69906250e+03,5.64062500e+00,,-3.71360000e-06,6.74326293e-05
-3.71200000e-06,-4.00625000e+00,1.70328125e+03,6.82812500e+00,,-3.71200000e-06,8.44038223e-05
-3.71040000e-06,-3.96562500e+00,1.69476562e+03,5.67187500e+00,,-3.71040000e-06,1.01397993e-04
-3.70880000e-06,-4.05625000e+00,1.70125000e+03,5.62500000e+00,,-3.70880000e-06,1.16743620e-04
-3.70720000e-06,-4.20156250e+00,1.70171875e+03,7.20312500e+00,,-3.70720000e-06,1.34205402e-04
-3.70560000e-06,-3.94843750e+00,1.69492188e+03,6.03125000e+00,,-3.70560000e-06,1.52189561e-04
-3.70400000e-06,-4.06718750e+00,1.70031250e+03,5.62500000e+00,,-3.70400000e-06,1.68018960e-04
-3.70240000e-06,-4.00937500e+00,1.70054688e+03,5.46875000e+00,,-3.70240000e-06,1.83110256e-04
-3.70080000e-06,-3.95000000e+00,1.69500000e+03,6.85937500e+00,,-3.70080000e-06,1.99851464e-04
-3.69920000e-06,-4.05625000e+00,1.69968750e+03,5.43750000e+00,,-3.69920000e-06,2.16546410e-04
-3.69760000e-06,-3.99531250e+00,1.70312500e+03,4.85937500e+00,,-3.69760000e-06,2.30560952e-04
-3.69600000e-06,-3.96093750e+00,1.69828125e+03,5.56250000e+00,,-3.69600000e-06,2.44739203e-04
-3.69440000e-06,-3.98125000e+00,1.69875000e+03,5.98437500e+00,,-3.69440000e-06,2.60429311e-04
-3.69280000e-06,-4.05312500e+00,1.70179688e+03,5.25000000e+00,,-3.69280000e-06,2.75709637e-04
-3.69120000e-06,-4.03125000e+00,1.70125000e+03,6.59375000e+00,,-3.69120000e-06,2.91831268e-04
-3.68960000e-06,-3.99843750e+00,1.69546875e+03,5.06250000e+00,,-3.68960000e-06,3.07672017e-04
-3.68800000e-06,-4.00937500e+00,1.69515625e+03,5.46875000e+00,,-3.68800000e-06,3.21954984e-04
-3.68640000e-06,-4.07031250e+00,1.70023438e+03,7.15625000e+00,,-3.68640000e-06,3.39105143e-04
-3.68480000e-06,-3.91875000e+00,1.69898438e+03,6.14062500e+00,,-3.68480000e-06,3.57185258e-04
-3.68320000e-06,-4.00781250e+00,1.69726562e+03,5.67187500e+00,,-3.68320000e-06,3.73232848e-04
-3.68160000e-06,-4.00781250e+00,1.70273438e+03,6.12500000e+00,,-3.68160000e-06,3.89277586e-04
-3.68000000e-06,-3.92031250e+00,1.69570312e+03,6.35937500e+00,,-3.68000000e-06,4.06247884e-04
-3.67840000e-06,-3.93125000e+00,1.69554688e+03,5.56250000e+00,,-3.67840000e-06,4.22419951e-04
-3.67680000e-06,-3.95625000e+00,1.69890625e+03,6.26562500e+00,,-3.67680000e-06,4.38480900e-04
-3.67520000e-06,-3.91250000e+00,1.69406250e+03,6.39062500e+00,,-3.67520000e-06,4.55657573e-04
-3.67360000e-06,-4.01875000e+00,1.69984375e+03,6.09375000e+00,,-3.67360000e-06,4.72605199e-04
-3.67200000e-06,-4.06718750e+00,1.70171875e+03,4.76562500e+00,,-3.67200000e-06,4.87379730e-04
-3.67040000e-06,-3.85625000e+00,1.69726562e+03,6.14062500e+00,,-3.67040000e-06,5.02205337e-04
-3.66880000e-06,-3.97968750e+00,1.69804688e+03,5.60937500e+00,,-3.66880000e-06,5.18163142e-04
-3.66720000e-06,-4.02656250e+00,1.70468750e+03,4.64062500e+00,,-3.66720000e-06,5.32111793e-04
-3.66560000e-06,-3.96875000e+00,1.70070312e+03,7.15625000e+00,,-3.66560000e-06,5.48176991e-04
-3.66400000e-06,-4.00625000e+00,1.70218750e+03,5.50000000e+00,,-3.66400000e-06,5.65403141e-04
-3.66240000e-06,-4.01718750e+00,1.69882812e+03,4.70312500e+00,,-3.66240000e-06,5.79284620e-04
-3.66080000e-06,-4.08593750e+00,1.69835938e+03,6.85937500e+00,,-3.66080000e-06,5.94996207e-04
-3.65920000e-06,-3.92031250e+00,1.69898438e+03,5.79687500e+00,,-3.65920000e-06,6.12194999e-04
-3.65760000e-06,-3.96406250e+00,1.69890625e+03,5.79687500e+00,,-3.65760000e-06,6.27952744e-04
-3.65600000e-06,-4.12031250e+00,1.70109375e+03,6.60937500e+00,,-3.65600000e-06,6.44825981e-04
-3.65440000e-06,-3.98281250e+00,1.69585938e+03,6.40625000e+00,,-3.65440000e-06,6.62511797e-04
-3.65280000e-06,-3.96250000e+00,1.69984375e+03,6.84375000e+00,,-3.65280000e-06,6.80509722e-04
-3.65120000e-06,-3.95625000e+00,1.70070312e+03,6.39062500e+00,,-3.65120000e-06,6.98511198e-04
-3.64960000e-06,-3.98125000e+00,1.69656250e+03,7.20312500e+00,,-3.64960000e-06,7.16982468e-04
-3.64800000e-06,-3.97187500e+00,1.69382812e+03,5.81250000e+00,,-3.64800000e-06,7.34635221e-04
-3.64640000e-06,-4.07031250e+00,1.70007812e+03,5.48437500e+00,,-3.64640000e-06,7.49970612e-04
-3.64480000e-06,-3.91875000e+00,1.69726562e+03,7.23437500e+00,,-3.64480000e-06,7.67252641e-04
-3.64320000e-06,-3.99687500e+00,1.69671875e+03,6.12500000e+00,,-3.64320000e-06,7.85389508e-04
-3.64160000e-06,-3.95937500e+00,1.69828125e+03,5.60937500e+00,,-3.64160000e-06,8.01324495e-04
-3.64000000e-06,-3.99531250e+00,1.69859375e+03,7.40625000e+00,,-3.64000000e-06,8.19009729e-04
-3.63840000e-06,-3.97343750e+00,1.69671875e+03,6.76562500e+00,,-3.63840000e-06,8.38257372e-04
-3.63680000e-06,-4.04062500e+00,1.69789062e+03,6.28125000e+00,,-3.63680000e-06,8.55972758e-04
-3.63520000e-06,-4.10000000e+00,1.69687500e+03,7.57812500e+00,,-3.63520000e-06,8.74791935e-04
-3.63360000e-06,-3.94687500e+00,1.69601562e+03,7.35937500e+00,,-3.63360000e-06,8.95064557e-04
-3.63200000e-06,-4.12656250e+00,1.69796875e+03,5.70312500e+00,,-3.63200000e-06,9.12796822e-04
-3.63040000e-06,-4.05156250e+00,1.69695312e+03,7.37500000e+00,,-3.63040000e-06,9.30555805e-04
-3.62880000e-06,-4.01406250e+00,1.69554688e+03,6.17187500e+00,,-3.62880000e-06,9.48939589e-04
-3.62720000e-06,-4.07812500e+00,1.69796875e+03,5.95312500e+00,,-3.62720000e-06,9.65397921e-04
-3.62560000e-06,-4.12343750e+00,1.69750000e+03,5.34375000e+00,,-3.62560000e-06,9.80741344e-04
-3.62400000e-06,-3.97031250e+00,1.69742188e+03,6.32812500e+00,,-3.62400000e-06,9.96591407e-04
-3.62240000e-06,-4.04687500e+00,1.69640625e+03,5.35937500e+00,,-3.62240000e-06,1.01245800e-03
-3.62080000e-06,-4.07343750e+00,1.69867188e+03,5.26562500e+00,,-3.62080000e-06,1.02688698e-03
-3.61920000e-06,-4.10937500e+00,1.69812500e+03,6.14062500e+00,,-3.61920000e-06,1.04238465e-03
-3.61760000e-06,-4.01093750e+00,1.69765625e+03,6.31250000e+00,,-3.61760000e-06,1.05929980e-03
-3.61600000e-06,-4.02812500e+00,1.69554688e+03,4.89062500e+00,,-3.61600000e-06,1.07450678e-03
-3.61440000e-06,-4.08906250e+00,1.69781250e+03,7.31250000e+00,,-3.61440000e-06,1.09107280e-03
-3.61280000e-06,-4.02968750e+00,1.69632812e+03,6.20312500e+00,,-3.61280000e-06,1.10942300e-03
-3.61120000e-06,-4.07656250e+00,1.69835938e+03,5.21875000e+00,,-3.61120000e-06,1.12493173e-03
-3.60960000e-06,-4.09375000e+00,1.69867188e+03,6.59375000e+00,,-3.60960000e-06,1.14098284e-03
-3.60800000e-06,-4.00625000e+00,1.69125000e+03,6.79687500e+00,,-3.60800000e-06,1.15913956e-03
-3.60640000e-06,-4.12031250e+00,1.70101562e+03,5.45312500e+00,,-3.60640000e-06,1.17575645e-03
-3.60480000e-06,-4.12812500e+00,1.70265625e+03,6.14062500e+00,,-3.60480000e-06,1.19154144e-03
-3.60320000e-06,-4.01562500e+00,1.69328125e+03,6.67187500e+00,,-3.60320000e-06,1.20894366e-03
-3.60160000e-06,-4.13125000e+00,1.69703125e+03,6.06250000e+00,,-3.60160000e-06,1.22621213e-03
-3.60000000e-06,-4.20000000e+00,1.69710938e+03,6.21875000e+00,,-3.60000000e-06,1.24288583e-03
-3.59840000e-06,-4.07656250e+00,1.69234375e+03,6.46875000e+00,,-3.59840000e-06,1.26008678e-03
-3.59680000e-06,-4.18125000e+00,1.69859375e+03,6.18750000e+00,,-3.59680000e-06,1.27725268e-03
-3.59520000e-06,-4.15312500e+00,1.69921875e+03,5.15625000e+00,,-3.59520000e-06,1.29267003e-03
-3.59360000e-06,-4.08750000e+00,1.69609375e+03,7.09375000e+00,,-3.59360000e-06,1.30930461e-03
-3.59200000e-06,-4.08281250e+00,1.69695312e+03,5.92187500e+00,,-3.59200000e-06,1.32696924e-03
-3.59040000e-06,-4.10156250e+00,1.70328125e+03,5.14062500e+00,,-3.59040000e-06,1.34201325e-03
-3.58880000e-06,-4.18437500e+00,1.69890625e+03,7.35937500e+00,,-3.58880000e-06,1.35902024e-03
-3.58720000e-06,-4.14375000e+00,1.69804688e+03,6.01562500e+00,,-3.58720000e-06,1.37719442e-03
-3.58560000e-06,-4.12031250e+00,1.69937500e+03,5.37500000e+00,,-3.58560000e-06,1.39267358e-03
-3.58400000e-06,-4.15625000e+00,1.69796875e+03,7.25000000e+00,,-3.58400000e-06,1.40982913e-03
-3.58240000e-06,-4.07500000e+00,1.69460938e+03,6.79687500e+00,,-3.58240000e-06,1.42889179e-03
-3.58080000e-06,-4.12656250e+00,1.69609375e+03,6.18750000e+00,,-3.58080000e-06,1.44650193e-03
-3.57920000e-06,-4.18593750e+00,1.69601562e+03,6.25000000e+00,,-3.57920000e-06,1.46337773e-03
-3.57760000e-06,-3.97812500e+00,1.69414062e+03,6.68750000e+00,,-3.57760000e-06,1.48092140e-03
-3.57600000e-06,-4.06406250e+00,1.69765625e+03,6.31250000e+00,,-3.57600000e-06,1.49855821e-03
-3.57440000e-06,-4.21406250e+00,1.70070312e+03,7.25000000e+00,,-3.57440000e-06,1.51699549e-03
-3.57280000e-06,-4.04843750e+00,1.69484375e+03,7.01562500e+00,,-3.57280000e-06,1.53637188e-03
-3.57120000e-06,-4.10937500e+00,1.70039062e+03,6.10937500e+00,,-3.57120000e-06,1.55419484e-03
-3.56960000e-06,-4.07656250e+00,1.70125000e+03,5.82812500e+00,,-3.56960000e-06,1.57043757e-03
-3.56800000e-06,-4.07656250e+00,1.69234375e+03,7.51562500e+00,,-3.56800000e-06,1.58854481e-03
-3.56640000e-06,-4.00625000e+00,1.69429688e+03,6.17187500e+00,,-3.56640000e-06,1.60708558e-03
-3.56480000e-06,-4.00468750e+00,1.69632812e+03,5.70312500e+00,,-3.56480000e-06,1.62319071e-03
-3.56320000e-06,-4.01875000e+00,1.69570312e+03,7.10937500e+00,,-3.56320000e-06,1.64057454e-03
-3.56160000e-06,-3.92812500e+00,1.69718750e+03,7.18750000e+00,,-3.56160000e-06,1.65997772e-03
-3.56000000e-06,-4.07656250e+00,1.69828125e+03,6.10937500e+00,,-3.56000000e-06,1.67803688e-03
-3.55840000e-06,-4.07031250e+00,1.69914062e+03,7.17187500e+00,,-3.55840000e-06,1.69608602e-03
