Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.27920000e-06,-1.01046875e+01,1.96875000e+03,-3.04687500e-01,9.84375000e-01,,-2.27920000e-06,-9.59765657e-07
-2.27760000e-06,-1.01171875e+01,1.96828125e+03,-2.34375000e-02,7.73437500e-01,,-2.27760000e-06,-1.47655373e-06
-2.27600000e-06,-1.00359375e+01,1.97007812e+03,-5.54687500e-01,3.51562500e-01,,-2.27600000e-06,-2.38768121e-06
-2.27440000e-06,-1.01390625e+01,1.97187500e+03,-7.81250000e-03,8.75000000e-01,,-2.27440000e-06,-3.27422754e-06
-2.27280000e-06,-1.00984375e+01,1.96781250e+03,-2.50000000e-01,2.10937500e-01,,-2.27280000e-06,-3.68011433e-06
-2.27120000e-06,-1.00984375e+01,1.96710938e+03,-1.95312500e-01,5.39062500e-01,,-2.27120000e-06,-4.38103780e-06
-2.26960000e-06,-1.01625000e+01,1.96812500e+03,-3.04687500e-01,9.06250000e-01,,-2.26960000e-06,-5.16812906e-06
-2.26800000e-06,-1.01062500e+01,1.97359375e+03,-2.89062500e-01,9.60937500e-01,,-2.26800000e-06,-6.10425286e-06
-2.26640000e-06,-1.00859375e+01,1.97421875e+03,-4.68750000e-01,8.04687500e-01,,-2.26640000e-06,-7.30097827e-06
-2.26480000e-06,-1.00921875e+01,1.96750000e+03,1.56250000e-01,1.03906250e+00,,-2.26480000e-06,-7.79537277e-06
-2.26320000e-06,-1.01281250e+01,1.96867188e+03,-1.71875000e-01,8.90625000e-01,,-2.26320000e-06,-7.82012739e-06
-2.26160000e-06,-1.00906250e+01,1.97132812e+03,-5.78125000e-01,6.17187500e-01,,-2.26160000e-06,-9.00255873e-06
-2.26000000e-06,-1.00578125e+01,1.96914062e+03,-3.75000000e-01,8.12500000e-01,,-2.26000000e-06,-1.05050403e-05
-2.25840000e-06,-1.01093750e+01,1.97328125e+03,-1.56250000e-01,7.42187500e-01,,-2.25840000e-06,-1.13424430e-05
-2.25680000e-06,-1.00484375e+01,1.96890625e+03,-2.03125000e-01,1.18750000e+00,,-2.25680000e-06,-1.19090500e-05
-2.25520000e-06,-1.00906250e+01,1.96992188e+03,-8.90625000e-01,3.67187500e-01,,-2.25520000e-06,-1.36325671e-05
-2.25360000e-06,-1.00984375e+01,1.97320312e+03,-2.34375000e-01,1.01562500e+00,,-2.25360000e-06,-1.54061127e-05
-2.25200000e-06,-1.00531250e+01,1.96343750e+03,-1.79687500e-01,1.48437500e-01,,-2.25200000e-06,-1.60583331e-05
-2.25040000e-06,-1.00703125e+01,1.97171875e+03,-7.10937500e-01,3.75000000e-01,,-2.25040000e-06,-1.74619927e-05
-2.24880000e-06,-1.00375000e+01,1.96765625e+03,-3.82812500e-01,8.28125000e-01,,-2.24880000e-06,-1.91860017e-05
-2.24720000e-06,-1.00359375e+01,1.97242188e+03,-9.37500000e-02,5.93750000e-01,,-2.24720000e-06,-1.99365277e-05
-2.24560000e-06,-1.00062500e+01,1.96726562e+03,-2.57812500e-01,2.03125000e-01,,-2.24560000e-06,-2.04902080e-05
-2.24400000e-06,-1.00343750e+01,1.97117188e+03,-3.04687500e-01,6.40625000e-01,,-2.24400000e-06,-2.13764306e-05
-2.24240000e-06,-1.00375000e+01,1.96601562e+03,-7.03125000e-02,5.15625000e-01,,-2.24240000e-06,-2.19674930e-05
-2.24080000e-06,-1.00625000e+01,1.97375000e+03,-1.87500000e-01,2.65625000e-01,,-2.24080000e-06,-2.23741445e-05
-2.23920000e-06,-9.99843750e+00,1.96859375e+03,-2.26562500e-01,9.37500000e-01,,-2.23920000e-06,-2.30270143e-05
-2.23760000e-06,-9.98750000e+00,1.97578125e+03,-5.00000000e-01,5.39062500e-01,,-2.23760000e-06,-2.41741345e-05
-2.23600000e-06,-1.00437500e+01,1.96851562e+03,-3.51562500e-01,5.85937500e-01,,-2.23600000e-06,-2.55180912e-05
-2.23440000e-06,-9.98906250e+00,1.96812500e+03,-4.21875000e-01,2.34375000e-01,,-2.23440000e-06,-2.67359792e-05
-2.23280000e-06,-1.00531250e+01,1.97210938e+03,-3.12500000e-01,3.90625000e-01,,-2.23280000e-06,-2.78932494e-05
-2.23120000e-06,-1.00062500e+01,1.97070312e+03,-5.85937500e-01,5.62500000e-01,,-2.23120000e-06,-2.93100438e-05
-2.22960000e-06,-1.00312500e+01,1.97132812e+03,-3.75000000e-01,4.53125000e-01,,-2.22960000e-06,-3.08252093e-05
-2.22800000e-06,-1.00500000e+01,1.97296875e+03,-5.39062500e-01,7.10937500e-01,,-2.22800000e-06,-3.22674496e-05
-2.22640000e-06,-9.99062500e+00,1.96734375e+03,-1.25000000e-01,8.28125000e-01,,-2.22640000e-06,-3.33150274e-05
-2.22480000e-06,-1.00312500e+01,1.96898438e+03,-5.70312500e-01,5.70312500e-01,,-2.22480000e-06,-3.44101099e-05
-2.22320000e-06,-1.01562500e+01,1.97234375e+03,-1.56250000e-01,5.46875000e-01,,-2.22320000e-06,-3.55550037e-05
-2.22160000e-06,-1.00500000e+01,1.97539062e+03,-4.37500000e-01,5.85937500e-01,,-2.22160000e-06,-3.64929328e-05
-2.22000000e-06,-1.00171875e+01,1.96812500e+03,-3.98437500e-01,6.09375000e-01,,-2.22000000e-06,-3.78116601e-05
-2.21840000e-06,-1.00234375e+01,1.97046875e+03,-5.54687500e-01,8.20312500e-01,,-2.21840000e-06,-3.93133960e-05
-2.21680000e-06,-1.01375000e+01,1.96914062e+03,-6.87500000e-01,4.92187500e-01,,-2.21680000e-06,-4.12708177e-05
-2.21520000e-06,-1.00343750e+01,1.96976562e+03,-4.14062500e-01,3.59375000e-01,,-2.21520000e-06,-4.30063301e-05
-2.21360000e-06,-1.01203125e+01,1.97296875e+03,-3.90625000e-01,7.81250000e-01,,-2.21360000e-06,-4.42753662e-05
-2.21200000e-06,-1.00796875e+01,1.97398438e+03,-1.32812500e-01,8.67187500e-01,,-2.21200000e-06,-4.51016531e-05
-2.21040000e-06,-1.00734375e+01,1.96953125e+03,-8.51562500e-01,9.37500000e-01,,-2.21040000e-06,-4.66531310e-05
-2.20880000e-06,-1.00328125e+01,1.96835938e+03,-1.56250000e-01,8.82812500e-01,,-2.20880000e-06,-4.82409196e-05
