Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.22912000e-06,-1.00687500e+01,1.19156250e+03,-4.84375000e-01,1.02343750e+00,,-2.22912000e-06,-1.86504276e-05
-2.22752000e-06,-1.00890625e+01,1.18796875e+03,-1.79687500e-01,4.53125000e-01,,-2.22752000e-06,-1.92829284e-05
-2.22592000e-06,-1.01546875e+01,1.19226562e+03,-3.82812500e-01,1.17968750e+00,,-2.22592000e-06,-1.98188300e-05
-2.22432000e-06,-1.01421875e+01,1.18843750e+03,5.46875000e-02,7.26562500e-01,,-2.22432000e-06,-2.01319672e-05
-2.22272000e-06,-1.02015625e+01,1.18945312e+03,-3.04687500e-01,7.42187500e-01,,-2.22272000e-06,-2.03699019e-05
-2.22112000e-06,-1.01421875e+01,1.18929688e+03,-3.12500000e-02,8.20312500e-01,,-2.22112000e-06,-2.06895638e-05
-2.21952000e-06,-1.00296875e+01,1.18812500e+03,-2.73437500e-01,7.73437500e-01,,-2.21952000e-06,-2.09791979e-05
-2.21792000e-06,-1.01328125e+01,1.19023438e+03,-2.57812500e-01,9.68750000e-01,,-2.21792000e-06,-2.14845859e-05
-2.21632000e-06,-1.00546875e+01,1.19156250e+03,-5.00000000e-01,8.35937500e-01,,-2.21632000e-06,-2.22066974e-05
-2.21472000e-06,-1.01000000e+01,1.18945312e+03,-3.43750000e-01,1.11718750e+00,,-2.21472000e-06,-2.30104215e-05
-2.21312000e-06,-1.01000000e+01,1.19000000e+03,1.95312500e-01,8.04687500e-01,,-2.21312000e-06,-2.31515842e-05
