Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.00000000,,Zero Index,1424.00000000,,Zero Index,1424.00000000,,Zero Index,1424.00000000,,Zero Index,1424.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.27840000e-06,-1.00875000e+01,2.36195312e+03,-6.25000000e-02,1.31250000e+00,,-2.27840000e-06,-2.36195319e-07
-2.27680000e-06,-1.00843750e+01,2.36476562e+03,4.06250000e-01,1.10937500e+00,,-2.27680000e-06,4.14255851e-07
-2.27520000e-06,-1.01578125e+01,2.36367188e+03,-4.68750000e-02,1.08593750e+00,,-2.27520000e-06,1.09416703e-06
-2.27360000e-06,-1.00656250e+01,2.36632812e+03,6.25000000e-02,9.37500000e-01,,-2.27360000e-06,1.12384578e-06
-2.27200000e-06,-1.01875000e+01,2.36351562e+03,1.95312500e-01,1.21875000e+00,,-2.27200000e-06,1.61146147e-06
-2.27040000e-06,-1.00921875e+01,2.35976562e+03,2.03125000e-01,1.43750000e+00,,-2.27040000e-06,2.36422261e-06
-2.26880000e-06,-1.01140625e+01,2.36132812e+03,2.50000000e-01,6.95312500e-01,,-2.26880000e-06,3.21995026e-06
-2.26720000e-06,-1.01593750e+01,2.36617188e+03,-7.03125000e-02,9.92187500e-01,,-2.26720000e-06,3.55911880e-06
-2.26560000e-06,-1.00937500e+01,2.36062500e+03,3.12500000e-02,1.08593750e+00,,-2.26560000e-06,3.48503727e-06
-2.26400000e-06,-1.00187500e+01,2.36578125e+03,-2.42187500e-01,6.79687500e-01,,-2.26400000e-06,3.08568269e-06
-2.26240000e-06,-1.01046875e+01,2.36562500e+03,-1.09375000e-01,1.07031250e+00,,-2.26240000e-06,2.42032047e-06
-2.26080000e-06,-1.00406250e+01,2.36281250e+03,-4.68750000e-02,1.20312500e+00,,-2.26080000e-06,2.12472287e-06
-2.25920000e-06,-1.01531250e+01,2.36062500e+03,3.43750000e-01,6.40625000e-01,,-2.25920000e-06,2.68528925e-06
-2.25760000e-06,-1.00687500e+01,2.36476562e+03,-4.68750000e-02,9.29687500e-01,,-2.25760000e-06,3.24578241e-06
-2.25600000e-06,-1.01578125e+01,2.36734375e+03,2.50000000e-01,9.92187500e-01,,-2.25600000e-06,3.63057234e-06
-2.25440000e-06,-1.00937500e+01,2.36375000e+03,2.34375000e-02,9.53125000e-01,,-2.25440000e-06,4.14836131e-06
-2.25280000e-06,-1.00812500e+01,2.36484375e+03,-3.59375000e-01,8.67187500e-01,,-2.25280000e-06,3.51278914e-06
-2.25120000e-06,-1.01078125e+01,2.36804688e+03,2.57812500e-01,7.96875000e-01,,-2.25120000e-06,3.32130617e-06
-2.24960000e-06,-1.00609375e+01,2.36867188e+03,1.01562500e-01,5.78125000e-01,,-2.24960000e-06,4.00217050e-06
-2.24800000e-06,-1.00562500e+01,2.37070312e+03,2.73437500e-01,9.21875000e-01,,-2.24800000e-06,4.71321619e-06
-2.24640000e-06,-1.01171875e+01,2.37164062e+03,2.26562500e-01,1.00781250e+00,,-2.24640000e-06,5.66166727e-06
-2.24480000e-06,-1.01109375e+01,2.36921875e+03,-1.71875000e-01,1.27343750e+00,,-2.24480000e-06,5.76575940e-06
-2.24320000e-06,-1.00593750e+01,2.37101562e+03,7.81250000e-02,1.10937500e+00,,-2.24320000e-06,5.58818010e-06
-2.24160000e-06,-1.00750000e+01,2.36960938e+03,-1.71875000e-01,1.25000000e+00,,-2.24160000e-06,5.41054715e-06
-2.24000000e-06,-1.00890625e+01,2.36703125e+03,7.81250000e-02,1.14843750e+00,,-2.24000000e-06,5.23266544e-06
-2.23840000e-06,-1.00765625e+01,2.36640625e+03,-5.46875000e-02,9.14062500e-01,,-2.23840000e-06,5.27707471e-06
