Model,MSO58
Channel,CH6,,Channel,CH7,,Channel,CH8,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,2324.40000000,,Zero Index,2324.40000000,,Zero Index,2324.40000000,,Zero Index,2324.40000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-0.860000,,yPosition,-2.100000,,yPosition,-2.940000,,,

TIME,CH6,CH7,CH8,,TIME,MATH1
-3.71904000e-06,-4.06250000e+00,1.90632812e+03,5.09375000e+00,,-3.71904000e-06,1.55365742e-05
-3.71744000e-06,-4.16562500e+00,1.91046875e+03,6.51562500e+00,,-3.71744000e-06,3.32631789e-05
-3.71584000e-06,-4.08593750e+00,1.90140625e+03,5.50000000e+00,,-3.71584000e-06,5.15876854e-05
-3.71424000e-06,-4.05781250e+00,1.90617188e+03,4.67187500e+00,,-3.71424000e-06,6.70781883e-05
-3.71264000e-06,-3.98593750e+00,1.91070312e+03,5.56250000e+00,,-3.71264000e-06,8.27051335e-05
-3.71104000e-06,-4.05468750e+00,1.90500000e+03,4.89062500e+00,,-3.71104000e-06,9.86610758e-05
-3.70944000e-06,-4.00156250e+00,1.90515625e+03,4.06250000e+00,,-3.70944000e-06,1.12306145e-04
-3.70784000e-06,-4.05312500e+00,1.91171875e+03,4.82812500e+00,,-3.70784000e-06,1.25881910e-04
-3.70624000e-06,-3.96406250e+00,1.90445312e+03,6.29687500e+00,,-3.70624000e-06,1.42859601e-04
-3.70464000e-06,-3.95625000e+00,1.90617188e+03,4.78125000e+00,,-3.70464000e-06,1.59744392e-04
-3.70304000e-06,-4.06250000e+00,1.90984375e+03,3.85937500e+00,,-3.70304000e-06,1.72932138e-04
-3.70144000e-06,-3.95156250e+00,1.90406250e+03,5.95312500e+00,,-3.70144000e-06,1.87896876e-04
-3.69984000e-06,-4.07187500e+00,1.90273438e+03,5.57812500e+00,,-3.69984000e-06,2.05455930e-04
-3.69824000e-06,-4.04531250e+00,1.90554688e+03,4.70312500e+00,,-3.69824000e-06,2.21116497e-04
-3.69664000e-06,-3.94062500e+00,1.90453125e+03,5.39062500e+00,,-3.69664000e-06,2.36499414e-04
-3.69504000e-06,-3.93750000e+00,1.90250000e+03,5.12500000e+00,,-3.69504000e-06,2.52512953e-04
-3.69344000e-06,-4.04218750e+00,1.90773438e+03,4.26562500e+00,,-3.69344000e-06,2.66823336e-04
-3.69184000e-06,-4.04218750e+00,1.90804688e+03,5.84375000e+00,,-3.69184000e-06,2.82253604e-04
-3.69024000e-06,-3.98593750e+00,1.90101562e+03,4.10937500e+00,,-3.69024000e-06,2.97423307e-04
-3.68864000e-06,-4.04375000e+00,1.90609375e+03,3.79687500e+00,,-3.68864000e-06,3.09462659e-04
-3.68704000e-06,-4.06875000e+00,1.91023438e+03,5.04687500e+00,,-3.68704000e-06,3.22965003e-04
-3.68544000e-06,-3.93281250e+00,1.90390625e+03,4.79687500e+00,,-3.68544000e-06,3.37983802e-04
-3.68384000e-06,-4.05937500e+00,1.90476562e+03,4.56250000e+00,,-3.68384000e-06,3.52242438e-04
-3.68224000e-06,-4.04531250e+00,1.90867188e+03,5.17187500e+00,,-3.68224000e-06,3.67091969e-04
-3.68064000e-06,-3.97500000e+00,1.90187500e+03,6.00000000e+00,,-3.68064000e-06,3.84118088e-04
-3.67904000e-06,-4.08125000e+00,1.90242188e+03,4.89062500e+00,,-3.67904000e-06,4.00690304e-04
-3.67744000e-06,-4.11250000e+00,1.90757812e+03,4.53125000e+00,,-3.67744000e-06,4.15048504e-04
-3.67584000e-06,-4.01562500e+00,1.90546875e+03,6.42187500e+00,,-3.67584000e-06,4.31752822e-04
-3.67424000e-06,-4.07656250e+00,1.90640625e+03,5.26562500e+00,,-3.67424000e-06,4.49572894e-04
-3.67264000e-06,-4.03593750e+00,1.90937500e+03,4.98437500e+00,,-3.67264000e-06,4.65217250e-04
-3.67104000e-06,-4.09531250e+00,1.90640625e+03,5.60937500e+00,,-3.67104000e-06,4.81385883e-04
-3.66944000e-06,-4.07031250e+00,1.90539062e+03,5.54687500e+00,,-3.66944000e-06,4.98396053e-04
-3.66784000e-06,-4.07656250e+00,1.90859375e+03,5.29687500e+00,,-3.66784000e-06,5.14938904e-04
-3.66624000e-06,-4.17031250e+00,1.90906250e+03,6.39062500e+00,,-3.66624000e-06,5.32786653e-04
-3.66464000e-06,-4.04687500e+00,1.90617188e+03,5.10937500e+00,,-3.66464000e-06,5.50338184e-04
-3.66304000e-06,-4.05937500e+00,1.90546875e+03,4.51562500e+00,,-3.66304000e-06,5.65013150e-04
-3.66144000e-06,-4.19218750e+00,1.91125000e+03,6.10937500e+00,,-3.66144000e-06,5.81237895e-04
-3.65984000e-06,-4.07343750e+00,1.90070312e+03,5.56250000e+00,,-3.65984000e-06,5.99037274e-04
-3.65824000e-06,-4.13750000e+00,1.90742188e+03,4.31250000e+00,,-3.65824000e-06,6.14075980e-04
-3.65664000e-06,-4.15468750e+00,1.90695312e+03,4.87500000e+00,,-3.65664000e-06,6.28093723e-04
-3.65504000e-06,-4.05156250e+00,1.90125000e+03,5.96875000e+00,,-3.65504000e-06,6.44609332e-04
-3.65344000e-06,-4.09062500e+00,1.90304688e+03,4.48437500e+00,,-3.65344000e-06,6.60514983e-04
-3.65184000e-06,-4.10625000e+00,1.90585938e+03,5.26562500e+00,,-3.65184000e-06,6.75370567e-04
-3.65024000e-06,-3.99375000e+00,1.90250000e+03,5.46875000e+00,,-3.65024000e-06,6.91722438e-04
-3.64864000e-06,-4.00468750e+00,1.90343750e+03,5.40625000e+00,,-3.64864000e-06,7.08278269e-04
-3.64704000e-06,-3.98281250e+00,1.90765625e+03,5.15625000e+00,,-3.64704000e-06,7.24379730e-04
-3.64544000e-06,-3.93906250e+00,1.90500000e+03,6.17187500e+00,,-3.64544000e-06,7.41654774e-04
-3.64384000e-06,-3.93125000e+00,1.90304688e+03,4.71875000e+00,,-3.64384000e-06,7.58244714e-04
-3.64224000e-06,-3.89687500e+00,1.90726562e+03,5.01562500e+00,,-3.64224000e-06,7.73081614e-04
-3.64064000e-06,-4.00625000e+00,1.90757812e+03,6.96875000e+00,,-3.64064000e-06,7.91369239e-04
-3.63904000e-06,-3.91250000e+00,1.90515625e+03,5.90625000e+00,,-3.63904000e-06,8.11005826e-04
-3.63744000e-06,-3.98750000e+00,1.91085938e+03,5.54687500e+00,,-3.63744000e-06,8.28487100e-04
-3.63584000e-06,-4.11718750e+00,1.90914062e+03,5.79687500e+00,,-3.63584000e-06,8.45820177e-04
-3.63424000e-06,-3.94218750e+00,1.90117188e+03,5.67187500e+00,,-3.63424000e-06,8.63300404e-04
-3.63264000e-06,-3.96406250e+00,1.90648438e+03,5.31250000e+00,,-3.63264000e-06,8.80029518e-04
-3.63104000e-06,-4.09062500e+00,1.90976562e+03,4.73437500e+00,,-3.63104000e-06,8.95365316e-04
-3.62944000e-06,-3.94531250e+00,1.90453125e+03,5.51562500e+00,,-3.62944000e-06,9.11002280e-04
-3.62784000e-06,-4.14843750e+00,1.90750000e+03,5.35937500e+00,,-3.62784000e-06,9.27584420e-04
-3.62624000e-06,-4.10781250e+00,1.91140625e+03,4.29687500e+00,,-3.62624000e-06,9.42333310e-04
-3.62464000e-06,-4.12968750e+00,1.90414062e+03,6.00000000e+00,,-3.62464000e-06,9.58043616e-04
-3.62304000e-06,-4.15625000e+00,1.90851562e+03,4.75000000e+00,,-3.62304000e-06,9.74435825e-04
-3.62144000e-06,-4.04687500e+00,1.90492188e+03,5.45312500e+00,,-3.62144000e-06,9.89998458e-04
-3.61984000e-06,-4.06875000e+00,1.90445312e+03,5.98437500e+00,,-3.61984000e-06,1.00742630e-03
-3.61824000e-06,-4.16406250e+00,1.90679688e+03,4.84375000e+00,,-3.61824000e-06,1.02393271e-03
-3.61664000e-06,-4.04062500e+00,1.90820312e+03,3.71875000e+00,,-3.61664000e-06,1.03699847e-03
-3.61504000e-06,-4.10468750e+00,1.90531250e+03,6.71875000e+00,,-3.61504000e-06,1.05291640e-03
-3.61344000e-06,-4.00625000e+00,1.90406250e+03,5.21875000e+00,,-3.61344000e-06,1.07110688e-03
-3.61184000e-06,-4.08750000e+00,1.90476562e+03,5.40625000e+00,,-3.61184000e-06,1.08729443e-03
-3.61024000e-06,-4.24687500e+00,1.90937500e+03,5.29687500e+00,,-3.61024000e-06,1.10362354e-03
-3.60864000e-06,-4.07656250e+00,1.90718750e+03,5.32812500e+00,,-3.60864000e-06,1.11984392e-03
-3.60704000e-06,-4.19687500e+00,1.90992188e+03,5.35937500e+00,,-3.60704000e-06,1.13616209e-03
-3.60544000e-06,-4.20781250e+00,1.90796875e+03,3.48437500e+00,,-3.60544000e-06,1.14966929e-03
-3.60384000e-06,-4.04375000e+00,1.90703125e+03,4.95312500e+00,,-3.60384000e-06,1.16254436e-03
-3.60224000e-06,-4.17031250e+00,1.90695312e+03,5.32812500e+00,,-3.60224000e-06,1.17822934e-03
-3.60064000e-06,-4.13593750e+00,1.90734375e+03,4.64062500e+00,,-3.60064000e-06,1.19343877e-03
-3.59904000e-06,-4.03750000e+00,1.90515625e+03,5.68750000e+00,,-3.59904000e-06,1.20918825e-03
-3.59744000e-06,-4.10156250e+00,1.90585938e+03,5.39062500e+00,,-3.59744000e-06,1.22607569e-03
-3.59584000e-06,-4.07500000e+00,1.90742188e+03,4.43750000e+00,,-3.59584000e-06,1.24106603e-03
-3.59424000e-06,-4.15937500e+00,1.90601562e+03,5.92187500e+00,,-3.59424000e-06,1.25686708e-03
