Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000,,Zero Index,1424.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.27920000e-06,-1.00625000e+01,1.57304688e+03,1.40625000e-01,1.02343750e+00,,-2.27920000e-06,3.53935548e-07
-2.27760000e-06,-1.01656250e+01,1.57460938e+03,2.34375000e-01,1.35937500e+00,,-2.27760000e-06,8.26142582e-07
-2.27600000e-06,-1.01015625e+01,1.57476562e+03,2.10937500e-01,1.20312500e+00,,-2.27600000e-06,1.38712358e-06
-2.27440000e-06,-9.95468750e+00,1.57398438e+03,3.98437500e-01,5.07812500e-01,,-2.27440000e-06,2.15457271e-06
-2.27280000e-06,-1.00843750e+01,1.57156250e+03,8.59375000e-02,1.13281250e+00,,-2.27280000e-06,2.76432525e-06
-2.27120000e-06,-1.00906250e+01,1.57523438e+03,7.81250000e-02,6.56250000e-01,,-2.27120000e-06,2.97082238e-06
-2.26960000e-06,-1.00171875e+01,1.57578125e+03,-1.87500000e-01,7.96875000e-01,,-2.26960000e-06,2.83290728e-06
-2.26800000e-06,-1.00718750e+01,1.57554688e+03,-1.79687500e-01,1.00000000e+00,,-2.26800000e-06,2.37005520e-06
-2.26640000e-06,-1.00703125e+01,1.57148438e+03,-6.25000000e-02,8.12500000e-01,,-2.26640000e-06,2.06499612e-06
-2.26480000e-06,-1.01250000e+01,1.57773438e+03,1.40625000e-01,6.17187500e-01,,-2.26480000e-06,2.16391709e-06
